season,episode,title,airdate,runtime,rating,character,sentence
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Narrator,"Humanity was suddenly reminded that day of the terror of being at their mercy of the humiliation of being trapped inside a cage All soldiers, prepare for battle! We have one target! We will slay it and claim this spot as humanity's first stronghold beyond the walls! Target approaching! Split into five groups just as we practiced! We'll act as the bait! All assault squads, switch to omni-directional gear! Strike from all directions at once! Taste the power of humanity! Unknown are the names of the flowers that have been trampled Birds have fallen to the earth and long for the wind Prayers won't solve anything Only the will to fight can change the here and now! O pigs who laugh at the resolve to walk over corpses to move forward Livestock complacency? False prosperity? Give us the freedom of dying, starving wolves! The humiliation of being caged is what triggers us to fight back We hunters slaughter prey beyond the castle walls, consumed with surging bloodlust, as our crimson bows and arrows pierce scarlet holes into the twilight Huh? Mikasa We should be getting back."
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Eren Yeager,What are we doing here? You were that deep asleep that you're still only half-awake? No It just feels like I had this really long dream or something What was it about? I can't remember Eren.
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Eren Yeager,Why are you crying? Huh? Listen! It was by God's great wisdom that the walls were built! The walls are His divine work! No one must be allowed to defile the walls! Don't you dare tell anyone I was crying.
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Mikasa Ackerman,I won't.
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Mikasa Ackerman,"Still, crying for no real reason You should have your dad give you a checkup."
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Hannes,"Don't be stupid! I can't tell him! What are you cryin' about, Eren? Mr."
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Eren Yeager,"Hannes Did Mikasa get on your case about somethin'? Huh?! What makes you think I was crying?! Whoa, you reek of alcohol! It's like, come on, y'know? Oh."
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Hannes,"You're drinking again You guys wanna join in? Actually, uhh Don't you have work? Yup! We're guardin' the gate today! We're stuck here all day, so we end up getting hungry and thirsty."
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Hannes,"If some booze happens to get into our drinks, so what? It's no big deal."
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Hannes,"What if something happens?! Can you fight like that?! - Whadya mean, ""If something happens""? - You know what I mean! I'm talking about if they break the walls and get into the city! Oww Geez, Eren."
